Event,Mesquite Poteet,North Mesquite,Mesquite Vanguard
Accounting,0,18,0
Current Issues and Events,35,0,0
Literary Criticism,49,16,0
Ready Writing,33,18,0
Social Studies,38,10,22
Spelling,37,0,18
Calculator Applications,23,37,10
Computer Science,32,35,36
Mathematics,26,32,10.67
Number Sense,41,21,8
Science,0,9,70
Copy Editing,12,22,21
Editorial,0,35,20
Feature Writing,14,35,6
Headline Writing,20,23,12
News Writing,18,19,18
Informative Speaking,33,22,0
Persuasive Speaking,26,29,0
Lincoln Douglas Debate,24,31,0
Poetry Interpretation,33,22,0
Prose Interpretation,37,18,0
TOTAL,531,452,251.67
